iter	TotalF1	MultiClass
0	0.8054379673	1.088182542
1	0.801998919	1.088152214
2	0.7978981767	1.081721577
3	0.7343986617	1.073956692
4	0.8499063369	1.064502691
5	0.8195882377	1.063996104
6	0.9038903983	1.059172332
7	0.8840723541	1.048287001
8	0.8986265954	1.046532372
9	0.8904793428	1.042573071
10	0.8954936199	1.033229093
11	0.8938293786	1.026698107
12	0.9117368603	1.017562449
13	0.9100488267	1.015326804
14	0.8840993302	1.013730582
15	0.9151375279	1.006412044
16	0.9005729919	1.00435058
17	0.9005729919	1.004328742
18	0.9117558196	1.000877454
19	0.8875364648	0.9938212967
20	0.8995072194	0.9839470021
21	0.8995072194	0.9765006117
22	0.9168289986	0.9700596694
23	0.9168289986	0.9605983858
24	0.9168289986	0.9595021469
25	0.9168289986	0.9524732029
26	0.9142919606	0.9485274773
27	0.9022097607	0.9406296798
28	0.8995072194	0.9328850204
29	0.8986663345	0.9293134192
30	0.8978255696	0.9222379108
31	0.8969849153	0.9146007225
32	0.8969849153	0.9078905611
33	0.8969849153	0.9017492061
34	0.8969849153	0.9017342154
35	0.8961443625	0.9015968544
36	0.8969849153	0.8990422697
37	0.8969849153	0.8979998776
38	0.8969849153	0.896614124
39	0.8969849153	0.8932285814
40	0.8978255696	0.8872167071
41	0.8969849153	0.8807830791
42	0.8986663345	0.8720961228
43	0.8978255696	0.8700074196
44	0.9142919606	0.8612795364
45	0.8995178759	0.8560340368
46	0.9003482337	0.8493927183
47	0.8995178759	0.8486940976
48	0.9003482337	0.8418840865
49	0.9005729919	0.840205779
50	0.914760233	0.8363518552
51	0.9151375279	0.8304314095
52	0.9151375279	0.8276470384
53	0.9139127049	0.8217845393
54	0.915607844	0.8150987585
55	0.914760233	0.8136102351
56	0.914760233	0.8079028446
57	0.914760233	0.8078937335
58	0.914760233	0.8068238969
59	0.915607844	0.7999071696
60	0.915607844	0.795909949
61	0.9143071586	0.7902476918
62	0.9151375279	0.7848209207
63	0.9143071586	0.7802141338
64	0.9151539176	0.7752867521
65	0.9297920888	0.7701695253
66	0.9297920888	0.7680255976
67	0.9159832041	0.7619604193
68	0.9159832041	0.7560239061
69	0.9159832041	0.7536922995
70	0.9159832041	0.7490901923
71	0.9159832041	0.7455605896
72	0.9159832041	0.7410514372
73	0.9159832041	0.7386637973
74	0.913446493	0.7323422967
75	0.9151375279	0.7269330993
76	0.9159832041	0.7247345364
77	0.9151375279	0.7224528712
78	0.9159832041	0.7209152881
79	0.9159832041	0.7198829714
80	0.9159832041	0.7198751404
81	0.9151375279	0.7182823087
82	0.9159832041	0.7165477806
83	0.9151375279	0.7155522999
84	0.9159832041	0.7093551343
85	0.9159832041	0.708054923
86	0.9151375279	0.7036697895
87	0.9151375279	0.7022268977
88	0.9151375279	0.6976006812
89	0.9159832041	0.6931377614
90	0.9159832041	0.6892047347
91	0.9159832041	0.6871150511
92	0.9151375279	0.6832125943
93	0.9159832041	0.6791754883
94	0.9159832041	0.6791684335
95	0.9151375279	0.6736391464
96	0.9142919606	0.6723208843
97	0.9142919606	0.6687316611
98	0.9142919606	0.66493
99	0.9151375279	0.6637902248
100	0.913446493	0.6599266787
101	0.9151375279	0.6581137859
102	0.9151375279	0.6570579294
103	0.9151375279	0.6533819113
104	0.9142919606	0.6510111271
105	0.9289429353	0.6491409179
106	0.9289429353	0.649134556
107	0.9289429353	0.6450420176
108	0.9289429353	0.6441186654
109	0.9289429353	0.6407053884
110	0.9289429353	0.6372090049
111	0.9151375279	0.6328424052
112	0.9151375279	0.6318422406
113	0.9151375279	0.6287495986
