iter	Passed	Remaining
0	144	144477
1	149	74789
2	158	52661
3	180	45054
4	216	43174
5	229	38021
6	254	36063
7	270	33533
8	290	32029
9	311	30847
10	340	30648
11	373	30772
12	412	31324
13	421	29679
14	441	28989
15	453	27906
16	462	26731
17	466	25445
18	486	25132
19	524	25685
20	555	25882
21	571	25414
22	591	25124
23	624	25403
24	637	24851
25	649	24317
26	669	24143
27	698	24236
28	732	24527
29	753	24353
30	774	24201
31	807	24431
32	839	24603
33	860	24434
34	865	23861
35	878	23531
36	902	23495
37	937	23733
38	959	23637
39	989	23749
40	1005	23522
41	1035	23629
42	1056	23519
43	1090	23692
44	1120	23772
45	1136	23567
46	1171	23747
47	1179	23394
48	1217	23627
49	1241	23583
50	1275	23736
51	1314	23965
52	1333	23834
53	1354	23737
54	1371	23567
55	1380	23274
56	1405	23245
57	1409	22899
58	1418	22618
59	1442	22599
60	1475	22718
61	1496	22637
62	1529	22748
63	1547	22630
64	1581	22746
65	1601	22670
66	1618	22534
67	1640	22483
68	1673	22576
69	1698	22569
70	1710	22387
71	1730	22309
72	1765	22417
73	1799	22512
74	1825	22511
75	1858	22594
76	1879	22533
77	1913	22617
78	1946	22695
79	1959	22535
80	1963	22279
81	1975	22121
82	2008	22191
83	2018	22008
84	2044	22004
85	2077	22075
86	2111	22158
87	2137	22147
88	2153	22041
89	2166	21908
90	2182	21797
91	2198	21698
92	2218	21641
93	2239	21585
94	2244	21379
95	2278	21453
96	2298	21399
97	2311	21273
98	2331	21222
99	2355	21203
100	2368	21078
101	2394	21082
102	2403	20932
103	2436	20990
104	2470	21057
105	2495	21043
106	2499	20857
107	2532	20919
108	2546	20813
109	2582	20895
110	2595	20787
111	2619	20768
112	2639	20715
113	2655	20635
